KabKot,NamaProv,Produk,CV_Post-2,CV_Post-Intervention,CV_Pre-Intervention,Mean_Price_Post-2,Mean_Price_Post-Intervention,Mean_Price_Pre-Intervention,Variance_Post-2,Variance_Post-Intervention,Variance_Pre-Intervention,Variance_Change_Post1,Variance_Change_Post2,Price_Change_Post1,Pre_Event_Avg,Peak_Price,Post_Event_Avg,Days_to_Peak,Price_Spike,Recovery_Level,Cluster,Probability,Cluster_Label
Lima Puluh Kota,Sumatera Barat,Minyak Goreng Curah,0.052039040504805935,0.09911666726597448,0.046259217742435,15127.545454545454,13389.277777777777,16511.960836743554,619719.9740259731,1761195.977124183,583436.8672868352,201.86573318794504,6.218857390323267,-18.911642837820732,17446.61500186012,17200.0,12013.4,0.0,-1.4135406887457815,-31.14194358780108,0,0.9999999727693955,High Success
Lingga,Kepulauan Riau,Minyak Goreng Curah,0.061941732480544034,0.08781007268889783,0.15716376211373337,16541.772727272728,15682.222222222223,17613.30333891369,1049858.564935063,1896286.1830065346,7662781.846477633,-75.25329285110467,-86.29925024659741,-10.963764601868082,16039.940011160716,23000.0,14013.2,0.0,43.39205747650191,-12.635583485664492,0,1.0,High Success
Lombok Barat,Nusa Tenggara Barat,Minyak Goreng Curah,0.06814468071768437,0.06307244940972953,0.1316686393266903,18855.636363636364,14741.833333333334,18759.643337673613,1650997.099567101,864534.6176470577,6101180.163092259,-85.83004280258976,-72.9397091147309,-21.41730486033072,22729.980003720237,18500.0,13635.0,0.0,-18.60969522642744,-40.01314564391017,0,1.0,High Success
Lombok Tengah,Nusa Tenggara Barat,Minyak Goreng Curah,0.0880723697421492,0.044826777281707544,0.12613138744119068,17855.454545454544,14447.555555555555,19368.976671006945,2472983.3073593043,419434.1437908493,5968424.412745035,-92.97244775530396,-58.565558741458304,-25.40878229678583,22729.980003720237,20000.0,13678.6,0.0,-12.010481325867502,-39.82132849320056,0,1.0,High Success
Lombok Timur,Nusa Tenggara Barat,Minyak Goreng Curah,0.06834057236324736,0.030432331072423113,0.12420641827031033,18836.636363636364,15998.666666666666,19779.310004340277,1657158.051948055,237048.94117647057,6035459.653804065,-96.07239622541323,-72.54296860548854,-19.114131569018358,22729.980003720237,21000.0,15965.6,0.0,-7.6110053921608785,-29.759727032813508,0,0.9999999999875344,High Success
Lombok Utara,Nusa Tenggara Barat,Minyak Goreng Curah,0.028201383314759635,0.08491757985925796,0.12332991802555801,17977.045454545456,17152.88888888889,20235.643337673613,257026.2359307353,2121630.575163402,6228320.003717256,-65.93574874288497,-95.87326541061901,-15.234279421427729,22729.980003720237,22600.0,18481.8,0.0,-0.5718438982302789,-18.689765688420902,0,0.9999998356284829,High Success
Lubuklinggau,Sumatera Selatan,Minyak Goreng Curah,0.029073464297583923,0.07467901584680858,0.06892076939322701,15647.454545454546,14921.555555555555,18319.02296730324,206957.40259740376,1241724.8496732027,1594060.67627304,-22.10303734633293,-87.01696832009705,-18.54611688522726,19559.146670386905,18900.0,14194.6,0.0,-3.370017524255652,-27.42730427247615,0,0.9999999956307795,High Success
Lumajang,Jawa Timur,Minyak Goreng Curah,0.04777171614038675,0.05227585655326561,0.14704762212901756,15175.318181818182,14127.0,17219.310004340277,525553.9415584416,545383.764705883,6411320.707449893,-91.49342562021343,-91.80271950913713,-17.958385112764876,18979.980003720237,21000.0,13403.8,0.0,10.642898442905748,-29.379272278618096,0,0.9999999673817014,High Success
Luwu,Sulawesi Selatan,Minyak Goreng Curah,0.09454804173496463,0.0691586286355031,0.19873565728654136,16956.136363636364,14977.888888888889,18513.226671006945,2570152.4090909087,1072985.7516339875,13536794.254476812,-92.07356090767846,-81.01358149666106,-19.096280972212433,15765.480003720239,25000.0,13786.2,0.0,58.57430280651561,-12.554517865952574,0,1.0,High Success
Luwu Timur,Sulawesi Selatan,Minyak Goreng Curah,0.05367524163083976,0.05791984237339918,0.1596601733781265,17044.339351851853,16867.332433862433,18052.602412987766,836967.0505337359,954437.6249968234,8307547.401460767,-88.51119856590888,-89.9252208854497,-6.5656460603851885,16159.440011160716,22608.641666666666,17444.245333333332,0.0,39.90980907167408,7.950803501143914,0,1.0,High Success
Luwu Utara,Sulawesi Selatan,Minyak Goreng Curah,0.060076027568252505,0.17360373336679832,0.12472906243406803,16239.179250841751,16016.945449735449,17239.056671626986,951766.834370923,7731744.853102711,4623408.961048908,67.23039035137872,-79.4141759383752,-7.089200094706786,15962.460007440477,20000.0,14726.977904761905,0.0,25.293970921007986,-7.7399229323217416,0,1.0,High Success
Madiun,Jawa Timur,Minyak Goreng Curah,0.05211122194313559,0.06857291409221872,0.0447649170407612,16492.136363636364,15253.25,16844.47503353623,738611.9809725151,1094031.9071428555,568578.6251514361,92.41523665288497,29.90498557271513,-9.446569455968241,16797.698268957378,18076.0,14913.0,0.0,7.609981502078532,-11.219979301809186,0,0.999999999833193,High Success
