Cluster,n_kabkot,Avg_Variance_Change,Avg_Price_Change,Avg_Days_to_Peak,Avg_Price_Spike,Avg_Recovery,Cluster_Label
0,312,-36.3677028888123,-14.911345166468063,0.0,12.669199406393943,-18.757560759063058,High Success
1,71,-51.87506529321867,-15.48831117068228,30.0,7.0552908736093745,-21.527728487544387,High Success
2,1,188564.50286084603,15.056237162577583,0.0,-0.2049203707945144,-11.068726907357359,Low Impact
3,48,-7.23139025317137,-11.475546306979062,61.0,-1.1527492954224978,-17.51081375353259,Moderate Success
4,16,6321.911846246379,-1.5047664605081232,41.875,2.6303255851193375,-8.915960305512247,Low Impact
